# Flame Wheel
000000000;4291420554;0;Tx; 
000234103;4300921482;10;1;0;0
000234103;4300921482;12;1;3;0
000234318;4300921482;11;1;0;98
000234318;4300921482;13;4;0;0
000234318;4300921482;14;5;1;1706509
000234338;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000234478;4300921482;1;5;0;2331
000234478;4300921482;2;9;0;2698117
000234478;4300921482;3;9;3;6292077
000234478;4300921482;4;0;0;1
000234478;4300921482;6;1;0;311
000234618;4300921482;5;0;0;8
000234618;4300921482;7;4;0;298427
000234618;4300921482;8;1;1;2
000234618;4300921482;9;1;0;28
000234621;4300921482;10;1;0;0
000234621;4300921482;12;1;3;0
000234858;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000234958;4300921482;1;5;0;2331
000234958;4300921482;2;9;0;2698117
000234958;4300921482;3;9;3;6292077
000234958;4300921482;4;0;0;1
000234958;4300921482;6;1;0;311
000235098;4300921482;5;0;0;8
000235098;4300921482;7;4;0;298427
000235098;4300921482;8;1;1;3
000235098;4300921482;9;1;0;28
000235098;4300921482;10;1;0;0
000235098;4300921482;12;1;3;0
000235379;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000235418;4300921482;1;5;0;2332
000235418;4300921482;2;9;0;2698117
000235418;4300921482;3;9;3;6292077
000235418;4300921482;4;0;0;1
000235418;4300921482;6;1;0;311
000235558;4300921482;5;0;0;8
000235558;4300921482;7;4;0;298426
000235558;4300921482;8;1;1;5
000235558;4300921482;9;1;0;28
000235558;4300921482;10;1;0;321
000235558;4300921482;12;1;3;0
000235698;4300921482;11;1;0;98
000235698;4300921482;13;4;0;0
000235698;4300921482;14;5;1;1706509
000235898;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;100
000236058;4300921482;1;5;0;2332
000236058;4300921482;2;9;0;2698117
000236058;4300921482;3;9;3;6292077
000236058;4300921482;4;0;0;1
000236058;4300921482;6;1;0;311
000236218;4300921482;5;0;0;8
000236219;4300921482;7;4;0;298424
000236219;4300921482;8;1;1;17
000236219;4300921482;9;1;0;28
000236219;4300921482;10;1;0;313
000236219;4300921482;12;1;3;0
000236419;4272321920;1;1;2;468;2;1;0;9;3;1;0;9;4;1;0;100
000236538;4300921482;1;5;0;2333
000236538;4300921482;2;9;0;2698118
000236538;4300921482;3;9;3;6292077
000236541;4300921482;4;0;0;1
