# Goblin 700
000000000;4291420554;0;Tx; 
000185758;3920121719;1;1;1;498
000185758;3920121719;2;1;0;0
000185758;3920121719;4;1;1;0
000185758;3920121719;5;4;0;0
000185758;3920121719;6;4;0;0
000185758;3920121719;9;1;0;0
000185859;3920121719;1;1;1;498
000185859;3920121719;2;1;0;0
000185859;3920121719;3;1;1;55
000185859;3920121719;4;1;1;0
000185859;3920121719;6;4;0;0
000185859;3920121719;9;1;0;0
000185878;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000185959;3920121719;1;1;1;498
000185959;3920121719;2;1;0;0
000185959;3920121719;4;1;1;0
000185959;3920121719;6;4;0;0
000185962;3920121719;7;1;0;21
000185962;3920121719;9;1;0;0
000186058;3920121719;1;1;1;498
000186058;3920121719;2;1;0;0
000186058;3920121719;3;1;1;55
000186058;3920121719;4;1;1;0
000186058;3920121719;6;4;0;0
000186058;3920121719;9;1;0;0
000186158;3920121719;1;1;1;498
000186158;3920121719;2;1;0;0
000186158;3920121719;4;1;1;0
000186158;3920121719;6;4;0;0
000186158;3920121719;8;5;0;0
000186158;3920121719;9;1;0;0
000186258;3920121719;1;1;1;498
000186258;3920121719;2;1;0;0
000186258;3920121719;3;1;1;55
000186261;3920121719;4;1;1;0
000186261;3920121719;6;4;0;0
000186261;3920121719;9;1;0;0
000186358;3920121719;1;1;1;498
000186358;3920121719;2;1;0;0
000186358;3920121719;4;1;1;0
000186358;3920121719;5;4;0;0
000186358;3920121719;6;4;0;0
000186358;3920121719;9;1;0;0
000186398;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;98
000186458;3920121719;1;1;1;498
000186458;3920121719;2;1;0;0
000186458;3920121719;3;1;1;55
000186458;3920121719;4;1;1;0
000186458;3920121719;6;4;0;0
000186458;3920121719;9;1;0;0
000186558;3920121719;1;1;1;498
000186561;3920121719;2;1;0;0
000186561;3920121719;4;1;1;0
000186561;3920121719;6;4;0;30
000186561;3920121719;7;1;0;21
000186561;3920121719;9;1;0;3
000186638;3920121719;1;1;1;498
000186638;3920121719;2;1;0;0
000186638;3920121719;3;1;1;55
000186638;3920121719;4;1;1;0
000186638;3920121719;6;4;0;84
000186638;3920121719;9;1;0;3
000186738;3920121719;1;1;1;498
000186738;3920121719;2;1;0;0
000186738;3920121719;4;1;1;0
000186738;3920121719;5;4;0;0
000186738;3920121719;6;4;0;105
000186738;3920121719;9;1;0;4
000186838;3920121719;1;1;1;497
000186838;3920121719;2;1;0;0
000186838;3920121719;3;1;1;55
000186838;3920121719;4;1;1;0
000186838;3920121719;6;4;0;148
000186838;3920121719;9;1;0;6
000186918;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000186938;3920121719;1;1;1;497
000186938;3920121719;2;1;0;1
000186938;3920121719;4;1;1;0
000186938;3920121719;6;4;0;228
000186938;3920121719;7;1;0;21
000186938;3920121719;9;1;0;8
000187038;3920121719;1;1;1;497
000187038;3920121719;2;1;0;2
000187038;3920121719;3;1;1;55
000187050;3920121719;4;1;1;0
000187050;3920121719;6;4;0;323
000187050;3920121719;9;1;0;10
000187138;3920121719;1;1;1;497
000187138;3920121719;2;1;0;2
000187138;3920121719;4;1;1;0
000187138;3920121719;6;4;0;419
000187138;3920121719;8;5;0;0
000187138;3920121719;9;1;0;10
000187238;3920121719;1;1;1;497
000187238;3920121719;2;1;0;2
000187238;3920121719;3;1;1;55
000187238;3920121719;4;1;1;0
000187238;3920121719;6;4;0;484
000187238;3920121719;9;1;0;10
000187368;3920121719;1;1;1;497
000187368;3920121719;2;1;0;2
000187371;3920121719;4;1;1;0
000187371;3920121719;5;4;0;0
000187371;3920121719;6;4;0;533
000187371;3920121719;9;1;0;10
000187439;4272321920;1;1;2;825;2;1;0;9;3;1;0;9;4;1;0;100
000187439;3920121719;1;1;1;497
000187439;3920121719;2;1;0;2
000187439;3920121719;3;1;1;55
000187439;3920121719;4;1;1;0
000187439;3920121719;6;4;0;571
000187439;3920121719;9;1;0;10
000187538;3920121719;1;1;1;497
000187538;3920121719;2;1;0;2
000187538;3920121719;4;1;1;0
